Date,Open,High,Low,Close,Volume,Adj Close
2015-11-04,230.820007,231.00,230.75,230.899994,637600,230.899994
2015-11-03,230.770004,230.990005,230.699997,230.809998,1209500,230.809998
2015-11-02,230.800003,230.949997,230.729996,230.910004,975900,230.910004
2015-10-30,230.860001,231.199997,230.720001,230.809998,1089200,230.809998
2015-10-29,231.039993,231.119995,230.649994,231.009995,473000,231.009995
2015-10-28,230.839996,231.100006,230.690002,230.990005,601100,230.990005
2015-10-27,230.080002,230.759995,230.080002,230.759995,943700,230.759995
2015-10-26,230.50,230.949997,230.149994,230.220001,931200,230.220001
2015-10-23,230.770004,231.050003,230.449997,230.50,900800,230.50
2015-10-22,231.270004,231.419998,230.660004,230.699997,1647000,230.699997
2015-10-21,231.360001,231.539993,231.190002,231.479996,656700,231.479996
2015-10-20,231.419998,231.679993,231.259995,231.279999,535600,231.279999
2015-10-19,231.300003,231.50,231.199997,231.470001,487500,231.470001
2015-10-16,231.589996,231.600006,231.149994,231.380005,675200,231.380005
2015-10-15,231.119995,231.559998,231.009995,231.50,584100,231.50
2015-10-14,231.220001,231.270004,230.979996,231.009995,608800,231.009995
2015-10-13,231.00,231.300003,230.600006,231.25,1115100,231.25
2015-10-12,230.300003,230.699997,230.279999,230.589996,457500,230.589996
2015-10-09,230.160004,230.550003,230.160004,230.309998,621000,230.309998
2015-10-08,229.960007,230.470001,229.850006,230.300003,698300,230.300003
2015-10-07,230.25,230.460007,229.850006,230.00,968600,230.00
2015-10-06,230.210007,230.449997,229.809998,229.960007,914300,229.960007
2015-10-05,230.25,230.740005,229.979996,230.350006,879700,230.350006
2015-10-02,229.770004,230.289993,229.520004,230.289993,896800,230.289993
2015-10-01,229.779999,230.100006,229.610001,230.00,2092000,230.00
2015-09-30,229.240005,230.119995,229.149994,229.710007,1016200,229.710007
2015-09-29,229.089996,229.350006,228.979996,229.240005,1023800,229.240005
2015-09-28,229.130005,229.479996,228.770004,229.179993,2334800,229.179993
2015-09-25,229.089996,229.649994,229.009995,229.029999,712700,229.029999
2015-09-24,229.25,229.330002,228.990005,229.00,2080300,229.00
2015-09-23,229.149994,229.399994,229.100006,229.119995,1096000,229.119995
2015-09-22,229.149994,229.259995,229.059998,229.139999,1531100,229.139999
2015-09-21,229.169998,229.399994,229.059998,229.279999,899600,229.279999
2015-09-18,229.139999,229.479996,228.75,228.75,2240400,228.75
2015-09-17,229.330002,229.600006,229.149994,229.25,2630700,229.25
2015-09-16,229.460007,229.669998,229.25,229.25,1492200,229.25
2015-09-15,229.25,230.00,229.25,229.399994,1276800,229.399994
2015-09-14,229.559998,229.600006,229.259995,229.279999,1684900,229.279999
2015-09-11,229.419998,229.800003,229.300003,229.800003,1576000,229.800003
2015-09-10,229.259995,229.630005,229.25,229.429993,2224900,229.429993
2015-09-09,229.600006,229.690002,229.25,229.270004,2410900,229.270004
2015-09-08,229.869995,230.330002,229.300003,229.449997,2128200,229.449997
2015-09-04,229.25,230.479996,229.25,229.589996,1171900,229.589996
2015-09-03,229.25,229.770004,229.179993,229.710007,1711900,229.710007
2015-09-02,229.690002,230.089996,229.050003,229.25,2999200,229.25
2015-09-01,229.860001,230.320007,229.399994,229.600006,2596000,229.570008
2015-08-31,229.660004,230.449997,229.630005,230.25,1434700,230.219917
2015-08-28,229.320007,229.979996,229.009995,229.979996,1735000,229.949948
2015-08-27,229.429993,229.440002,228.75,229.440002,4298000,229.410025
2015-08-26,228.809998,229.240005,228.600006,228.880005,3038600,228.850101
2015-08-25,230.050003,230.089996,228.119995,228.50,4446700,228.470146
2015-08-24,229.160004,230.00,228.00,228.850006,8072000,228.820106
2015-08-21,230.720001,230.960007,230.399994,230.800003,5314400,230.769848
2015-08-20,230.690002,231.050003,230.690002,230.770004,2133000,230.739853
2015-08-19,230.899994,231.190002,230.679993,230.850006,2146100,230.819845
2015-08-18,230.520004,231.139999,230.50,230.880005,2121400,230.84984
2015-08-17,230.479996,230.899994,230.279999,230.899994,1743300,230.869826
2015-08-14,230.490005,230.75,230.410004,230.50,1735800,230.469884
2015-08-13,230.300003,230.720001,230.300003,230.399994,4090600,230.369891
2015-08-12,230.729996,230.880005,230.300003,230.300003,6463100,230.269914
2015-08-11,230.910004,231.199997,230.710007,230.800003,7344500,230.769848
2015-08-10,231.160004,231.470001,230.699997,230.919998,16604500,230.889828
2015-08-07,193.660004,195.009995,193.350006,193.880005,629900,193.854674
2015-08-06,192.619995,194.899994,191.820007,193.809998,566100,193.784676
2015-08-05,192.770004,195.210007,192.080002,192.190002,570200,192.164892
2015-08-04,192.289993,193.940002,191.169998,191.470001,697700,191.444985
