Date,Open,High,Low,Close,Volume,Adj Close,predict_news_word,predict_twitter_word,bias_news_word,bias_twitter_word
2015-11-04,147.259995,148.759995,147.179993,148.190002,2755100,148.190002,,3.074,,-1.066521
2015-11-03,148.029999,148.460007,147.139999,148.089996,2470000,147.179992,,-0.272,,-0.424049
2015-11-02,148.380005,149.470001,147.559998,148.399994,2516700,147.488085,,0.51,,-2.170314
2015-10-30,147.399994,149.600006,147.089996,148.070007,3938000,147.160126,-2.642,0.64,0.184282,-0.332304
2015-10-29,147.539993,147.869995,145.830002,147.179993,3072100,146.27558,-1.517,1.864,0.267278,-0.619459
2015-10-28,147.990005,148.809998,145.139999,147.880005,4408300,146.971291,,0.944,,-0.778057
2015-10-27,146.220001,148.990005,146.009995,148.460007,3411300,147.547729,3.049,0.326,0.273955,-0.773382
2015-10-26,146.210007,147.229996,145.550003,146.699997,3143400,145.798534,,-0.721,,-0.701985
2015-10-23,147.369995,147.75,144.910004,146.699997,4691200,145.798534,,2.728,,-0.779375
2015-10-22,142.00,147.360001,141.929993,146.309998,6976300,145.410931,1.226,2.512,0.267841,-0.795572
2015-10-21,141.699997,142.149994,136.610001,141.190002,8927200,140.322398,,0.811,,-0.504765
2015-10-20,137.940002,139.929993,137.580002,138.880005,4202600,138.026595,-1.937,-0.154,0.201154,-0.747878
2015-10-19,137.600006,138.610001,136.389999,138.419998,4022000,137.569415,,1.821,,-0.481275
2015-10-16,137.429993,138.729996,136.520004,137.600006,3143000,136.754462,,0.513,,-0.632153
2015-10-15,135.160004,137.669998,135.00,137.389999,6368300,136.545746,-2.475,2.586,0.234665,-0.674811
2015-10-14,139.75,140.889999,133.580002,134.220001,8752300,133.395227,-1.251,0.705,0.230593,-0.60984
2015-10-13,139.440002,140.50,139.429993,140.289993,2339700,139.42792,2.031,1.46,0.270072,-0.528863
2015-10-12,139.929993,141.070007,139.320007,140.679993,1942200,139.815522,,1.996,,-0.372623
2015-10-09,139.039993,140.240005,138.360001,139.699997,3065700,138.841549,,0.101,,-0.670143
2015-10-08,136.660004,139.350006,136.070007,139.039993,2835700,138.185601,,-1.464,,-0.801169
2015-10-07,135.690002,137.729996,135.259995,137.020004,3263800,136.178024,-3.329,-4.792,0.665321,-1.330011
2015-10-06,134.100006,135.539993,133.669998,134.630005,3059600,133.802711,2.025,-1.97,0.434773,-0.807016
2015-10-05,132.279999,134.149994,131.350006,134.020004,4587500,133.196459,,,,
2015-10-02,129.00,132.589996,128.559998,132.559998,3020500,131.745424,1.289,0.411,0.395646,-0.80201
2015-10-01,131.320007,131.789993,128.979996,130.610001,2878400,129.80741,0.384,-1.537,0.242034,-0.760256
2015-09-30,130.270004,131.410004,129.619995,130.949997,3062500,130.145317,2.097,0.597,0.291431,-0.729947
2015-09-29,128.110001,129.149994,127.470001,128.75,2935100,127.958839,-6.702,0.613,0.123171,-0.700263
2015-09-28,130.440002,130.479996,128.029999,128.130005,4160000,127.342654,,-3.272,,-0.76105
2015-09-25,131.570007,131.729996,129.279999,131.009995,4149900,130.204946,-0.706,1.849,0.242188,-0.673799
2015-09-24,130.720001,130.770004,127.18,129.75,5297800,128.952694,-0.852,1.311,0.235341,-0.724762
2015-09-23,134.660004,135.00,131.610001,131.669998,4907500,130.860894,-0.985,0.626,0.18131,-0.878394
2015-09-22,134.490005,134.490005,132.520004,133.990005,3465000,133.166645,-5.477,-2.107,0.144845,-0.720643
2015-09-21,136.419998,137.449997,134.940002,136.020004,2460900,135.184169,,2.009,,-0.621109
