Date,Open,High,Low,Close,Volume,Adj Close,predict_news_word,predict_twitter_word,bias_news_word,bias_twitter_word
2015-11-04,749.900024,759.900024,749.200012,755.309998,2083400,755.309998,,4.29,,-1.401346
2015-11-03,745.429993,751.700012,741.159973,748.820007,1807500,748.820007,,4.699,,3.068679
2015-11-02,737.880005,748.179993,731.450012,747.73999,1981000,747.73999,,0.732,,1.345865
2015-10-30,745.559998,746.309998,736.530029,737.390015,1991800,737.390015,,10.47,,-2.192507
2015-10-29,736.630005,746.789978,735.159973,744.849976,1822800,744.849976,,2.051,,23.390632
2015-10-28,733.00,737.369995,727.27002,736.919983,1964300,736.919983,-2.137,4.546,-0.383676,-1.868862
2015-10-27,726.570007,735.960022,724.140015,732.820007,1924000,732.820007,,-1.327,,-0.359054
2015-10-26,720.02002,734.950012,720.02002,731.119995,2402000,731.119995,,30.561,,-7.066045
2015-10-23,750.059998,752.50,717.940002,719.330017,6307400,719.330017,-5.436,9.638,-0.233614,-6.526227
2015-10-22,675.440002,688.049988,671.700012,681.140015,4132600,681.140015,-2.685,7.198,-0.351329,-1.989763
2015-10-21,683.210022,684.900024,670.700012,671.799988,1597600,671.799988,,-5.163,,-3.373975
2015-10-20,697.890015,698.00,673.679993,680.00,2613300,680.00,,14.149,,-6.437968
2015-10-19,694.00,700.23999,692.210022,699.950012,1494300,699.950012,,5.019,,-3.690932
2015-10-16,695.400024,696.219971,689.099976,695.320007,1811000,695.320007,,2.993,,-1.393004
2015-10-15,685.25,694.159973,684.390015,693.02002,2343500,693.02002,7.058,2.562,2.586184,-1.761824
2015-10-14,683.72998,690.039978,678.900024,680.409973,1562200,680.409973,,-1.087,,-5.516915
2015-10-13,674.26001,688.460022,673.109985,683.169983,2096300,683.169983,,2.019,,-4.833454
2015-10-12,669.190002,677.97998,667.23999,676.429993,1331000,676.429993,,17.072,,-2.639292
2015-10-09,667.48999,674.090027,662.359985,671.23999,1606200,671.23999,18.775,3.519,-0.021618,-0.790143
2015-10-08,669.450012,671.890015,654.48999,667.00,1965400,667.00,5.213,1.277,-0.045195,-0.589428
2015-10-07,677.400024,678.73999,658.109985,670.00,2217700,670.00,-1.284,-3.215,0.007295,-2.982508
2015-10-06,669.349976,678.799988,663.080017,671.640015,2157400,671.640015,,3.633,,-2.955545
2015-10-05,661.599976,673.030029,655.869995,671.679993,1898000,671.679993,,,,
2015-10-02,638.01001,657.00,633.50,656.98999,2439400,656.98999,29.53,0.413,0.808822,-1.635864
2015-10-01,637.940002,643.840027,631.119995,642.00,2125300,642.00,,0.056,,-2.865022
2015-09-30,631.830017,639.309998,629.150024,638.369995,2647700,638.369995,,5.117,,-0.706969
2015-09-29,625.50,634.679993,618.030029,622.609985,2106500,622.609985,,0.446,,-0.378061
2015-09-28,639.049988,642.849976,617.840027,624.25,2382300,624.25,,3.197,,-2.194694
2015-09-25,658.580017,658.580017,639.659973,640.150024,2424000,640.150024,,-9.703,,-3.488444
2015-09-24,648.969971,656.77002,642.169983,654.909973,1934600,654.909973,,5.074,,-1.60524
2015-09-23,652.900024,660.280029,650.72998,653.289978,1458000,653.289978,10.362,1.969,0.078445,-1.745023
2015-09-22,657.469971,658.820007,645.030029,653.200012,2718100,653.200012,,-8.502,,4.427831
2015-09-21,665.51001,669.00,658.00,666.97998,1954700,666.97998,,12.187,,-1.573925
2015-09-18,665.059998,669.840027,660.030029,660.919983,3627200,660.919983,,-8.022,,-2.923097
2015-09-17,667.48999,681.98999,665.00,671.669983,2387600,671.669983,,10.727,,-1.342352
2015-09-16,665.549988,668.070007,662.200012,665.52002,1312600,665.52002,14.067,4.977,-0.238391,-1.656261
